cohort_week,cohort_users,week_number,active_users,retention_pct,revenue_usd
2020-10-26,2365,0,2365,100.00,773.0
2020-10-26,2365,1,254,10.74,544.0
2020-10-26,2365,2,83,3.51,145.0
2020-10-26,2365,3,56,2.37,508.0
2020-10-26,2365,4,32,1.35,570.0
2020-10-26,2365,5,24,1.01,62.0
2020-10-26,2365,6,22,0.93,0.0
2020-10-26,2365,7,6,0.25,0.0
2020-10-26,2365,8,14,0.59,144.0
2020-10-26,2365,9,5,0.21,0.0
2020-10-26,2365,10,9,0.38,0.0
2020-10-26,2365,11,8,0.34,0.0
2020-10-26,2365,12,6,0.25,0.0
2020-10-26,2365,13,6,0.25,0.0
2020-11-02,19374,0,19374,100.00,21276.0
2020-11-02,19374,1,1218,6.29,5683.0
2020-11-02,19374,2,660,3.41,5197.0
2020-11-02,19374,3,468,2.42,4795.0
2020-11-02,19374,4,441,2.28,3883.0
2020-11-02,19374,5,378,1.95,3753.0
2020-11-02,19374,6,249,1.29,2892.0
2020-11-02,19374,7,113,0.58,384.0
2020-11-02,19374,8,75,0.39,489.0
2020-11-02,19374,9,130,0.67,277.0
2020-11-02,19374,10,106,0.55,531.0
2020-11-02,19374,11,80,0.41,234.0
2020-11-02,19374,12,79,0.41,365.0
2020-11-09,16232,0,16232,100.00,17866.0
2020-11-09,16232,1,1085,6.68,5931.0
2020-11-09,16232,2,507,3.12,4300.0
2020-11-09,16232,3,416,2.56,2662.0
2020-11-09,16232,4,400,2.46,5113.0
2020-11-09,16232,5,245,1.51,848.0
2020-11-09,16232,6,122,0.75,775.0
2020-11-09,16232,7,68,0.42,598.0
2020-11-09,16232,8,100,0.62,0.0
2020-11-09,16232,9,83,0.51,195.0
2020-11-09,16232,10,86,0.53,716.0
2020-11-09,16232,11,69,0.43,193.0
2020-11-16,18167,0,18167,100.00,26450.0
2020-11-16,18167,1,1047,5.76,5739.0
2020-11-16,18167,2,599,3.30,3583.0
2020-11-16,18167,3,433,2.38,4884.0
2020-11-16,18167,4,326,1.79,2914.0
2020-11-16,18167,5,131,0.72,585.0
2020-11-16,18167,6,78,0.43,386.0
2020-11-16,18167,7,87,0.48,393.0
2020-11-16,18167,8,85,0.47,374.0
2020-11-16,18167,9,75,0.41,190.0
2020-11-16,18167,10,65,0.36,0.0
2020-11-23,20072,0,20072,100.00,32569.0
2020-11-23,20072,1,1020,5.08,4628.0
2020-11-23,20072,2,533,2.66,4251.0
2020-11-23,20072,3,318,1.58,1910.0
2020-11-23,20072,4,152,0.76,826.0
2020-11-23,20072,5,93,0.46,187.0
2020-11-23,20072,6,106,0.53,126.0
2020-11-23,20072,7,98,0.49,208.0
2020-11-23,20072,8,80,0.40,692.0
2020-11-23,20072,9,96,0.48,74.0
2020-11-30,22034,0,22034,100.00,28224.0
2020-11-30,22034,1,1187,5.39,7260.0
2020-11-30,22034,2,491,2.23,5192.0
2020-11-30,22034,3,196,0.89,1346.0
2020-11-30,22034,4,138,0.63,147.0
2020-11-30,22034,5,147,0.67,522.0
2020-11-30,22034,6,118,0.54,207.0
2020-11-30,22034,7,86,0.39,293.0
2020-11-30,22034,8,98,0.44,21.0
2020-12-07,28545,0,28545,100.00,34460.0
2020-12-07,28545,1,947,3.32,9544.0
2020-12-07,28545,2,270,0.95,1771.0
2020-12-07,28545,3,194,0.68,1079.0
2020-12-07,28545,4,298,1.04,472.0
2020-12-07,28545,5,168,0.59,718.0
2020-12-07,28545,6,122,0.43,642.0
2020-12-07,28545,7,115,0.40,62.0
2020-12-14,24839,0,24839,100.00,23976.0
2020-12-14,24839,1,709,2.85,2701.0
2020-12-14,24839,2,235,0.95,1019.0
2020-12-14,24839,3,314,1.26,796.0
2020-12-14,24839,4,227,0.91,917.0
2020-12-14,24839,5,143,0.58,681.0
2020-12-14,24839,6,113,0.45,10.0
2020-12-21,17430,0,17430,100.00,6184.0
2020-12-21,17430,1,447,2.56,935.0
2020-12-21,17430,2,203,1.16,620.0
2020-12-21,17430,3,172,0.99,415.0
2020-12-21,17430,4,104,0.60,321.0
2020-12-21,17430,5,75,0.43,144.0
2020-12-28,16615,0,16615,100.00,5528.0
2020-12-28,16615,1,408,2.46,641.0
2020-12-28,16615,2,148,0.89,75.0
2020-12-28,16615,3,101,0.61,416.0
2020-12-28,16615,4,78,0.47,20.0
2021-01-04,22908,0,22908,100.00,5555.0
2021-01-04,22908,1,729,3.18,1330.0
2021-01-04,22908,2,285,1.24,651.0
2021-01-04,22908,3,200,0.87,108.0
2021-01-11,21433,0,21433,100.00,8180.0
2021-01-11,21433,1,781,3.64,1444.0
2021-01-11,21433,2,301,1.40,262.0
2021-01-18,20698,0,20698,100.00,20686.0
2021-01-18,20698,1,853,4.12,1636.0
2021-01-25,19442,0,19442,100.00,2283.0
