session_week,sessions,users,purchases,cvr_pct,revenue_usd,aov,revenue_per_session,included_in_model
2020-10-26,2625,2365,13,0.495,773.0,55.21,0.2945,no - partial boundary week (see DQ report L8)
2020-11-02,24991,19628,249,0.996,21820.0,74.98,0.8731,yes
2020-11-09,22508,17533,341,1.515,23694.0,64.74,1.0527,yes
2020-11-16,25914,19968,374,1.443,38086.0,67.65,1.4697,yes
2020-11-23,27780,22126,515,1.854,47973.0,70.44,1.7269,yes
2020-11-30,31088,24534,590,1.898,43042.0,66.84,1.3845,yes
2020-12-07,38729,31498,772,1.993,59721.0,69.04,1.5420,yes
2020-12-14,33411,27421,549,1.643,47276.0,69.02,1.4150,yes
2020-12-21,22083,19137,233,1.055,14716.0,57.26,0.6664,yes
2020-12-28,20444,17948,138,0.675,10368.0,62.84,0.5071,yes
2021-01-04,29029,24710,162,0.558,9402.0,55.31,0.3239,yes
2021-01-11,27707,23375,227,0.819,13150.0,51.98,0.4746,yes
2021-01-18,27478,22647,375,1.365,26966.0,67.42,0.9814,yes
2021-01-25,26342,21590,310,1.177,5178.0,15.32,0.1966,no - AOV anomaly ($15.32 vs $55-75 baseline); likely extraction-window edge artifact
